"","X2014_F04000_nm8_","X2014_EBITDA_nm8_","X2014_EBITIE_nm8_","X2014_AL_nm8_","X2014_ROI_nm8_","X2014_IOL_nm8_","X2014_F05300_nm8_","X2014_V16140_nm8_","X2014_CNS_nm8_","X2014_F12000_nm8_","X2014_F16200_nm8_","X2014_EBITS_nm8_","X2014_TOD_nm8_","X2014_F05200_nm8_","X2014_DEB_nm8_","X2014_F01000_nm8_","X2014_LEV_nm8_","X2014_COGSSALES_nm8_","X2014_CARCL_nm8_","X2014_APS_nm8_","X2014_STA_nm8_","X2014_TC_nm8_","X2014_ROL_nm8_","X2014_ER_nm8_","X2014_ARL_nm8_","X2014_TATL_nm8_","X2014_EC_nm8_","X2014_STDE_nm8_","X2014_EBITTA_nm8_","X2014_GL_nm8_","X2014_CFS_nm8_","X2014_TR_nm8_","not_survive"
"1",0,0.00376486694617952,0.0796396106507924,2.01409869083585e-05,0.00136454761975231,0,0,0.16017316017316,5.04699311365828e-05,0,0,0.00949713535014413,5.49347277336795e-06,0,0.0139437767366062,0,0,0.0205289522332876,0.000875340228633642,5.25319657011289e-05,0.00288910362910973,0.000678610698823862,0.00064,0.014704891145611,0.00809002433090022,0.00108727704712236,0.0973366224272273,0.000953919831798626,0.0048521967726599,5.62113546936481e-05,0.000133259647472826,0.000672249102721367,0
"2",0,0.00575425686660392,0.0693427721020031,0.0108185872536326,-0.106321002039033,0,0,0.164502164502165,0.00349596437022233,0,0,0.133805272701911,1.02361292223576e-05,0,0.0686833706797039,0,0,0.715909090909091,0.000325305124158123,0.00288809708098682,0,0.000515308658999938,-0.00243776824034335,0.880077369439072,0.000360264402744275,0.000464228841342018,0,0.000506161543403352,0.000908719064546462,0,0.0233004067402673,0,1
"3",0,0.0020214768546248,0.0304078513393935,0.00241691842900302,0.00265802505097581,0,0,0.0865800865800866,0.00543745804430523,0,0,0.0206406989443029,0,0,0.000193522102261153,0,0.000378246974024207,0.0091017251635931,0.00420836648381559,9.95672940154816e-05,0.00188034752491231,0.000145157368732377,0.00056140350877193,0.0145303580695382,0.00512229478806505,0.000881398211218372,0.0985057925223801,0.000105125859014542,0.00686349275520209,0,0.00026586924788481,0.000145523828994594,0
"4",0,0.00381834516984684,0.00574370525299654,7.23628272156592e-05,0.00849209281461924,0,0,0.0995670995670996,0.000152792019503053,0,0,0.00591601577604206,0.000351742873464867,0,0.000909893393087526,0,8.04480504454468e-05,0.0171417739343937,0.000585193249863908,7.10354530524571e-05,0.00140010214216664,0.00090868512826468,0.00238805970149254,0.0137920181291703,0.00103497112975269,0.0016591747013473,0.103779187633646,0.000650222905756614,0.00146477763690747,0.00427138976684069,2.58916824475468e-05,0.000959747399027759,0
"5",0,0.00348678018310944,0.00273509773952216,0.00170179593263293,0.000297746445140511,0,0,0.0995670995670996,0.00976641603127366,0,0,0.00057832239951872,0,0,0.0142629184491071,0,5.13212985464885e-06,0.00155364917372783,0.000733933203112491,0.000120309362677772,0.00181363365157208,0.00907088397208624,5.33206379433468e-05,0.0148520246973522,0.00193732114529561,0.000756271962941085,0.0963723442722924,0.016356804952596,0.000185482199164239,0,0.00026497970388,0.00889682999409386,1
"6",0.00365050867743866,0.0203324206383161,0.0989998122972139,5.0143535871432e-05,-0.0145198399617878,0,0,0.632034632034632,0.000474806252670788,0,0,0.0237655883892783,3.23006090325976e-06,0,0.00218773341481632,0,3.34588981872044e-05,0.0614735129524959,0.00121185277189059,0.000198505782142787,0.000630505593697702,0.00146681521104067,-0.00171328806983511,0.0172492836676218,0.0109382854149115,0.00123277340036282,0.0829787755163724,0.00234586407615784,0.0026498431769409,8.7465800871859e-06,0.000732085702476498,0.00123872722729544,0
"7",0.000239377618192699,0.00223538974929409,0.0156865899766712,4.83383685800604e-05,-0.00104236276508855,0,0,0.0779220779220779,0.000115642587310153,0,0,0.0122287721058573,0.000113285564586932,0,4.99837788491281e-05,0,0.00146445809565599,0.0230580036892805,0.000106506354879174,5.31622511906337e-05,0.00264331662934926,0.000296121032214049,-0.000483018867924528,0.0150410785759427,0.000275444153697838,0.00117428750697666,0.0951610238618881,5.40770879704437e-05,0.0057162958402955,0.0012141652613828,6.83597087876408e-06,0.000286788423969833,0
"8",0,0.00466330110379054,0.00155275726662339,0.00381618699316266,0.000385920152591773,0,0,0.112554112554113,0.00566574615778476,0,0,0.00850049842279909,0.000523164069273793,0,0.0025768995722143,0,2.84058992350195e-05,0.0149621761542409,0.0100435492651062,0.000245717909100661,0.000715341850940825,0.000799817101715397,3.37285902503294e-05,0.014839752221923,0.000923227835319234,0.00092767538707728,0.0964520442032251,0.000369887281717834,0.0010753273270472,0.00903523564391587,0.000183088940077712,0.000785118804234246,0
"9",0.000119688809096349,0.00291991101223582,0.0273509773952216,0.00563947633434037,0.0287026279268872,0,0,0.0562770562770563,0.00346096797231226,0,0,0.0176289212619537,3.02716665849812e-05,0,2.03707476064372e-05,0,0.00359334625322997,0.0535636044983204,0.000630969466026624,1.28656131567436e-05,0.00211608835365792,0.000190881939883076,0.0378666666666667,0.0117276086125621,0.00364963503649635,0.00606125710177409,0.122047425401001,2.33613020032316e-05,0.0065969348082374,0.00126475548060708,8.28093957349687e-05,0.000237097360410704,0
"10",0,0.00173269444682125,0.0247767677580243,0.0045652903658946,0.00384292778454335,0,0,0.0606060606060606,0.0013601450821421,0,0,0.00334085387018395,0.00039950908125041,0,0.00011882936103755,0,0,0.00467952353942144,0.00400108873162766,6.24580638714007e-06,0.00125092364711153,0.000722883696287237,0.0128,0.0143740722414646,0.00608272506082725,0.021120669076285,0.0995768222970869,0,0.000739045096147847,0.0343826119542815,3.8624560265575e-05,0.000732588251328881,0
"11",0,0.000887738512877556,0.0133537124929611,0.0114803625377644,0.00198730844932771,0,0,0.0649350649350649,0.0215890918272873,0,0,0.0170477885800356,0,0,4.07414952128743e-05,0,0.00179667312661499,0.00402774669948534,0.00898203592814372,3.94230715078198e-05,0.0010149429397217,7.76591922718217e-05,0.00106666666666667,0.0146203396447394,0.00547445255474453,0.00412415431667103,0.097899533940638,4.67226040064633e-05,0.00305979503059796,0,0.000492566195245991,7.73760846849303e-05,0
"12",0.0101735487731897,0.0280332848464105,0.0221846816650131,0.000168728267685117,0.0119682911436239,0,0,0.606060606060606,0.000426325128601678,0,0,0.00172317313793855,0.000473829190078864,0,0.0003872520692938,0,0.000189021971452784,0.00343423891955916,0.000983663740480206,5.29693655457893e-05,0.00104632934931923,0.02109644618472,0.00374678833422795,0.0133867084930717,0.00361633187191211,0.00254107850673398,0.10692131213693,0.000379025205970798,0.000318845271403869,0.00480836877476924,7.8252755860862e-05,0.0229565614919813,0
"13",0.000837821663674446,0.0108881663386669,0.00613305446062264,0.000332063575463024,0.0181371121125409,0,0,0.186147186147186,0.000482180350370826,0,0,0.00315432006143147,0.0007121827766226,0,0.00195219664561689,0,3.74957869902257e-05,0.00908684426879751,0.000752561861922089,3.04410729197788e-05,0.000829541773094279,0.0041950479563657,0.0109746086956522,0.0127231904201861,0.00399873056172644,0.00653474696627305,0.112497289595143,0.00223879144197637,0.000462728954936608,0.0125757020309407,4.73848803402916e-05,0.00480299622915815,0
"14",0,0.00473817061692479,0.0172954709999196,0.000777858804736604,0.00479374639072355,0,0,0.0606060606060606,0.000745301936010506,0,0,0.00620687664193538,8.90909525499101e-05,0,0.00147687920146669,0,4.95633965962753e-05,0.0217247723734491,0.000188221400035062,2.00864489097709e-05,0.00353026330164973,0.00107851924968156,0.00492873563218391,0.0142510720499788,0.00335598624045642,0.00232710901881124,0.100436264180978,0.00169369439523429,0.00387492114986032,0.00238413676804094,3.56651685048091e-05,0.00110243173867612,0
"15",0.000478755236385398,0.00627834345854368,0.00146096776788518,0.000876516849618886,0.00442736822009249,0,0,0.0822510822510823,0.00445506508477833,0,0,0.00366622385454924,0.00023886460097568,0,0.00373124193657907,0,1.96179049311918e-05,0.0126420635934108,0.00133639172612603,0.000114468905346937,0.00095733206090035,0.00240525759989549,0.000803639672429478,0.0142982174995686,0.00483518527128179,0.00150583316682818,0.100105096129431,0.003983101991551,0.000620674981286044,0.00120500000824213,0.000260039298282619,0.00245047930580164,0
